timestamp,ip,req_per_IP_5min,error_ratio_per_IP,unique_UA_per_IP,size,Label
2019-01-22 04:30:11,82.99.223.75,7.0,0.0,1.0,6496,0
2019-01-22 04:30:11,82.99.223.75,8.0,0.0,1.0,7356,0
2019-01-22 04:30:11,82.99.223.75,9.0,0.0,1.0,5807,0
2019-01-22 04:30:11,188.226.164.216,118.0,0.0,1.0,4120,0
2019-01-22 04:30:12,66.249.66.91,109.0,0.0,2.0,40017,0
2019-01-22 04:30:12,188.226.164.216,119.0,0.0,1.0,2376,0
2019-01-22 04:30:12,188.226.164.216,120.0,0.0,1.0,2749,0
2019-01-22 04:30:12,82.99.223.75,10.0,0.0,1.0,0,0
2019-01-22 04:30:12,188.226.164.216,121.0,0.0,1.0,2421,0
2019-01-22 04:30:12,188.226.164.216,122.0,0.0,1.0,2515,0
2019-01-22 04:30:12,82.99.223.75,11.0,0.0,1.0,2343,0
2019-01-22 04:30:12,82.99.223.75,12.0,0.0,1.0,5499,0
2019-01-22 04:30:12,51.38.125.215,6.0,0.0,1.0,3710,0
2019-01-22 04:30:12,188.226.164.216,123.0,0.0,1.0,323,0
2019-01-22 04:30:12,188.226.164.216,124.0,0.0,1.0,2382,0
2019-01-22 04:30:12,188.226.164.216,125.0,0.0,1.0,3484,0
2019-01-22 04:30:12,82.99.223.75,13.0,0.0,1.0,2651,0
2019-01-22 04:30:12,188.226.164.216,126.0,0.0,1.0,2269,0
2019-01-22 04:30:12,66.249.66.194,148.0,0.0,3.0,41927,0
2019-01-22 04:30:12,188.226.164.216,127.0,0.0,1.0,3689,0
2019-01-22 04:30:12,82.99.223.75,14.0,0.0,1.0,7575,0
2019-01-22 04:30:12,82.99.223.75,15.0,0.0,1.0,5790,0
2019-01-22 04:30:12,82.99.223.75,16.0,0.0,1.0,5000,0
2019-01-22 04:30:12,188.226.164.216,128.0,0.0,1.0,3352,0
2019-01-22 04:30:12,82.99.223.75,17.0,0.0,1.0,133,0
2019-01-22 04:30:12,188.226.164.216,129.0,0.0,1.0,2096,0
2019-01-22 04:30:12,188.226.164.216,130.0,0.0,1.0,2920,0
2019-01-22 04:30:12,82.99.223.75,18.0,0.0,1.0,5836,0
2019-01-22 04:30:12,188.226.164.216,131.0,0.0,1.0,3452,0
2019-01-22 04:30:12,188.226.164.216,132.0,0.0,1.0,2010,0
2019-01-22 04:30:12,188.226.164.216,133.0,0.0,1.0,2738,0
2019-01-22 04:30:12,82.99.223.75,19.0,0.0,1.0,5109,0
2019-01-22 04:30:12,82.99.223.75,20.0,0.0,1.0,2596,0
2019-01-22 04:30:12,82.99.223.75,21.0,0.0,1.0,2688,0
2019-01-22 04:30:12,82.99.223.75,22.0,0.0,1.0,64847,0
2019-01-22 04:30:12,188.226.164.216,134.0,0.0,1.0,2212,0
2019-01-22 04:30:12,188.226.164.216,135.0,0.0,1.0,88940,0
2019-01-22 04:30:12,188.226.164.216,136.0,0.0,1.0,2115,0
2019-01-22 04:30:12,82.99.223.75,23.0,0.0,1.0,3053,0
2019-01-22 04:30:13,188.226.164.216,137.0,0.0,1.0,1704,0
2019-01-22 04:30:13,188.226.164.216,138.0,0.0,1.0,1729,0
2019-01-22 04:30:13,188.226.164.216,139.0,0.0,1.0,2469,0
2019-01-22 04:30:13,188.226.164.216,140.0,0.0,1.0,11567,0
2019-01-22 04:30:13,188.226.164.216,141.0,0.0,1.0,9684,0
2019-01-22 04:30:13,188.226.164.216,142.0,0.0,1.0,1446,0
2019-01-22 04:30:13,188.226.164.216,143.0,0.0,1.0,3045,0
2019-01-22 04:30:13,188.226.164.216,144.0,0.0,1.0,27444,0
2019-01-22 04:30:13,188.226.164.216,145.0,0.0,1.0,12625,0
2019-01-22 04:30:13,188.226.164.216,146.0,0.0,1.0,18021,0
2019-01-22 04:30:13,188.226.164.216,147.0,0.0,1.0,3032,0
2019-01-22 04:30:14,188.226.164.216,148.0,0.0,1.0,71,0
2019-01-22 04:30:14,5.112.236.19,26.0,0.0,1.0,5379,0
2019-01-22 04:30:15,5.112.236.19,27.0,0.0,1.0,5412,0
2019-01-22 04:30:15,82.99.223.75,24.0,0.0,1.0,7146,0
2019-01-22 04:30:15,54.36.148.73,1.0,0.0,1.0,33131,0
2019-01-22 04:30:16,66.249.66.194,146.0,0.0,3.0,11544,0
2019-01-22 04:30:16,66.249.66.194,147.0,0.0,3.0,0,0
2019-01-22 04:30:16,157.55.39.245,8.0,0.0,1.0,37406,0
2019-01-22 04:30:16,66.249.66.194,148.0,0.0,3.0,0,0
2019-01-22 04:30:16,66.249.66.194,149.0,0.0,3.0,0,0
2019-01-22 04:30:16,82.99.223.75,25.0,0.0,1.0,3863,0
2019-01-22 04:30:16,82.99.223.75,26.0,0.0,1.0,62894,0
2019-01-22 04:30:16,82.99.223.75,27.0,0.0,1.0,4859,0
2019-01-22 04:30:17,207.46.13.136,48.0,0.0,1.0,41584,0
2019-01-22 04:30:17,66.249.66.194,150.0,0.0,3.0,29339,0
2019-01-22 04:30:17,157.55.39.245,9.0,0.0,1.0,1440,0
2019-01-22 04:30:19,204.18.175.72,64.0,0.0,1.0,21288,0
2019-01-22 04:30:19,66.249.66.91,107.0,0.0,2.0,39979,0
2019-01-22 04:30:19,66.249.66.194,149.0,0.0,3.0,20937,0
2019-01-22 04:30:20,66.249.66.194,150.0,0.0,3.0,18778,0
2019-01-22 04:30:20,207.46.13.136,49.0,0.0,1.0,38167,0
2019-01-22 04:30:20,66.249.66.194,151.0,0.0,3.0,26700,0
2019-01-22 04:30:20,204.18.175.72,65.0,0.0,1.0,4120,0
2019-01-22 04:30:21,204.18.175.72,66.0,0.0,1.0,27410,0
2019-01-22 04:30:21,204.18.175.72,67.0,0.0,1.0,57911,0
2019-01-22 04:30:22,157.55.39.245,8.0,0.0,1.0,37054,0
2019-01-22 04:30:22,66.249.66.194,152.0,0.0,3.0,40005,0
2019-01-22 04:30:23,113.190.10.19,3.0,1.0,2.0,2285,0
2019-01-22 04:30:23,34.247.132.53,5.0,0.0,1.0,29465,0
2019-01-22 04:30:23,66.249.66.194,152.0,0.0,3.0,17350,0
2019-01-22 04:30:24,113.190.10.4,3.0,1.0,3.0,2285,0
2019-01-22 04:30:24,54.36.149.102,1.0,0.0,1.0,0,0
2019-01-22 04:30:24,40.77.167.170,66.0,0.0,2.0,38068,0
2019-01-22 04:30:25,83.121.159.152,1.0,0.0,1.0,3975,0
